hash,name,rank,category,stern,ear,bow,mask,fx,isCustom,isUltimate
4thM53RLdH6RGFzqcNkiEnRDr123Ln5nUdEZo49YwPsv,POPHEADZ #0,3884,Terrestrials,Raccoon-Mecca,Raccoon-Mecca,Raccoon-Mecca,Raccoon-Mecca,None,False,True
9k4eQTZZLVqpjvyQviRhKs2Q5PB26N2Hbj55St1BW9QH,POPHEADZ #1,4338,Aquatics,PointyFrog-Galapagos,AnglerFish-Coral,Gecko-Atlantic,Turtle-Woodland,None,False,False
9MBPZauTMJb2rfeNbstYpDUK6uooyg8vR6d8h861UfZ8,POPHEADZ #2,4657,Aquatics,PufferFish-Gumdrops,AnglerFish-Demonic,AnglerFish-Coral,Dolphin-Jetstream,None,False,False
DnsBVtQJDvqb5kAvegbzHuZ89juf2Xuzh3yJQiEsmHjx,POPHEADZ #3,3963,Aquatics,Gecko-Neon,Tadpole-Magma,Gator-Green,Nautilus-Deepsea,None,False,False
Js3XPTZ1Kwryoox2uynztmE4USP5inCUkLHuwbgzSAK,POPHEADZ #4,4865,Aquatics,Gecko-Venomous,Tadpole-Woodland,Turtle-Ancient,PufferFish-Atlantic,None,False,False
8Njczy5kddpHsSXJjKf14PdnMj8dPsRHfhLVaBmgxNSR,POPHEADZ #5,4308,Aquatics,Tadpole-Toxic,Axolotl-Jungle,Crab-Seaside,Tadpole-Magma,None,False,False
3GRTW64wJAPby9DgeCEHjhkoJ8QyubzT8Qmj3EiGPsUu,POPHEADZ #6,4079,Aquatics,Snake-Jungle,Crab-Crimson,TreeFrog-Ultraviolet,Nautilus-Deepsea,None,False,False
GVGDNbWF35T9HvD9y4x67dp1GRpcMqnsj3r2Zyeu5aTf,POPHEADZ #7,4570,Aquatics,Snake-Magma,Turtle-Caribbean,Turtle-Jetstream,Axolotl-Toxic,None,False,False
HRsxntbBeZdCt2wm2RVPLBdDu2EM4KrHdiAevNbUqbGk,POPHEADZ #8,4116,Aquatics,PointyFrog-Badlands,Gator-Crimson,AnglerFish-Toxic,Tadpole-Mecha,None,False,False
9T4iuxeRSuBqgGHRUYcJMJWe3nLxUKNcphfUDW1GDxxA,POPHEADZ #9,4909,Aquatics,PointyFrog-Badlands,Koi-Atlantic,Crab-Crimson,Axolotl-Toxic,None,False,False
7NYWUs8Ks4LWZHNptkEA1cH83BXnQ5JnGEnEPbJmLSBw,POPHEADZ #10,4520,Aquatics,Tadpole-Woodland,TreeFrog-Jungle,Nautilus-Deepsea,Turtle-Caribbean,None,False,False
28k4htZdqYo2Ux66LyGGHrecjy9tYYmxU6fR36Co2a6A,POPHEADZ #11,4958,Aquatics,Snake-Magma,Gecko-Magma,Crab-Seaside,Gator-Green,None,False,False
Cv3s8zgAMGY5XjswpG2G9vAGiUeCg5WjqWSkcd9AkG9k,POPHEADZ #12,4145,Aquatics,PointyFrog-Neon,Gator-Jetstream,Gator-Green,Turtle-Caribbean,None,False,False
7XbxqE24ixa1TWnLp2nRdmPCkiHCxoABcvpnE34qefCD,POPHEADZ #13,4501,Aquatics,Koi-Jetstream,Axolotl-Crimson,Fish-Jungle,Axolotl-Toxic,None,False,False
7Uu5AprqxcDa5zLsZ4JhKvphYbL1GN47gUZRMjZegDdt,POPHEADZ #14,4912,Aquatics,Gecko-Venomous,Dolphin-Friendly,Tadpole-Woodland,PointyFrog-Crimson,None,False,False
5J7W6pobHmKSc2yFSFHPhj6D3SKFhvg4bJQLWWRHwwiv,POPHEADZ #15,4307,Aquatics,Crab-Jungle,Dolphin-Deepsea,Snake-Jungle,Koi-Equatorial,None,False,False
